movie_title,genre,release_date,director,actor,rating,duration,language,country,box_office
Under Capricorn,comedy,7/14/2001,Lynnell Eborn,Candy O'Leagham,7.0,64,Maltese,China,Yuan Renminbi
Semi-Pro,action,8/24/2004,Cthrine Liverseege,Jade Clemits,5.4,107,Filipino,China,Yuan Renminbi
Wag the Dog,romance,12/17/2017,Rod Rubberts,Mischa Ionnidis,1.4,171,Romanian,Ukraine,Hryvnia
Shadowing the Third Man,drama,7/24/2008,Amandi Bau,Cris Cottrill,5.1,189,Hebrew,China,Yuan Renminbi
Lured,romance,12/4/2002,Gregorius Gadsden,Ingrim Darlington,6.8,200,Northern Sotho,Afghanistan,Afghani
"Walk Among the Tombstones, A",comedy,10/7/2008,Constantine Castagneri,Antonetta Richarz,3.8,84,Swedish,Japan,Yen
"Last Waltz, The",romance,6/5/2000,Lorenzo Akester,Kaila Pachmann,6.8,129,English,China,Yuan Renminbi
"Caddy, The",comedy,8/2/2002,Cloe Arondel,Marline MacKintosh,3.2,171,New Zealand Sign Language,France,Euro
"North and South, Book II",action,10/9/2007,Karena Brickwood,Freddie Preddy,1.6,239,Persian,Brazil,Real
Ballast,romance,6/7/2004,Hedi Kuzemka,Augustin McGovern,4.6,168,Tsonga,Portugal,Euro
"Chronicles of Narnia: Prince Caspian, The",action,11/19/2004,Rosa Shinner,Hedwig Cammomile,9.3,172,Romanian,Iran,Rial
"Devil and Max Devlin, The",action,10/21/2018,Karola Fowell,Allsun Heinzel,4.1,177,Sotho,Cyprus,Euro
The Snow White Murder Case,action,10/27/2021,Erin Gemson,Hollie Halt,2.7,131,Tetum,China,Yuan Renminbi
Mr. Holland's Opus,drama,6/30/2022,Farly Kun,Julian Downey,6.0,104,English,Brazil,Real
I Am Ali,drama,1/31/2010,Dorri Oliva,Milly McCuaig,1.8,74,Catalan,Philippines,Peso
Bandolero!,drama,3/5/2020,Orland Hamlin,Adriaens Willbourne,7.6,105,Afrikaans,China,Yuan Renminbi
Some Mother's Son,drama,9/8/2013,Lilla Millwall,Laurette Fetterplace,2.2,177,Azeri,Poland,Zloty
Mr. Mom,action,3/19/2017,Reube Halso,Edin Kerry,1.8,61,Montenegrin,China,Yuan Renminbi
"Simple Plan, A",action,5/15/2009,Bax Torr,Lolita Pougher,5.7,106,French,North Korea,Won
"French Connection, The",action,4/26/2001,Jacquie Meenan,Karen Kinningley,2.9,112,Bulgarian,Indonesia,Rupiah
"Angel at My Table, An",drama,10/31/2007,Jerome Alliston,Angy Berthelmot,4.7,141,Icelandic,Dominican Republic,Peso
Circus of Horrors,drama,6/12/2001,Tremayne Kornes,Minnie McGenn,8.6,197,Bislama,China,Yuan Renminbi
Absolon,romance,8/12/2011,Jana Carillo,Reamonn Cantu,4.8,75,Kurdish,Finland,Euro
"Hero: Love Story of a Spy, The",comedy,3/21/2020,Afton Mendoza,Brnaby Moyes,1.2,103,Somali,Mexico,Peso
Angel and the Badman,thriller,4/3/2019,Iggy Cardno,Odelia Rodger,2.3,61,Portuguese,Ecuador,Dollar
Big Stan,action,10/30/2020,Latashia Christophe,Charisse Hurling,7.7,118,Arabic,China,Yuan Renminbi
"Honey Pot, The",drama,2/17/2010,Dniren Van Merwe,Barbie Foye,6.2,164,Moldovan,Ukraine,Hryvnia
Alice in Wonderland,action,3/16/2020,Coop Behnecken,Yard Fleet,9.0,139,Somali,Egypt,Pound
Triad Underworld (Gong wu) (Jiang Hu),thriller,7/19/2013,Elisabetta Tomik,Bonnie Fearnside,1.6,137,Moldovan,China,Yuan Renminbi
"Monster, The",thriller,10/15/2018,Edwin Augustine,Jennifer Conkay,4.4,169,Nepali,Portugal,Euro
Rebirth of Mothra III,drama,9/9/2021,Emmit Mundow,Tate Dike,7.1,143,Indonesian,Indonesia,Rupiah
Where the Road Meets the Sun,comedy,11/26/2006,Talia Buscombe,Zerk Shields,7.1,200,Georgian,Portugal,Euro
Tyler Perry's I Can Do Bad All by Myself,action,1/24/2009,Simonette Oglevie,Emelia Harrowsmith,9.5,203,Pashto,Portugal,Euro
Promise Her Anything,romance,5/12/2003,Corrianne Zmitrovich,Somerset Caghan,4.8,185,Dhivehi,Finland,Euro
Terry Pratchett: Choosing to Die,action,9/1/2017,Happy Garfoot,Marylynne Girkin,4.0,130,Macedonian,Indonesia,Rupiah
Mezzo Forte,romance,7/20/2017,Sharon Shelly,Brigida Copner,9.1,137,Maltese,Honduras,Lempira
Medea,thriller,11/13/2014,Job Plank,Conroy Bather,3.3,103,Hungarian,Ecuador,Dollar
Forest of Bliss,romance,4/16/2003,Mattie Fishley,Frederico Kernaghan,3.6,72,Finnish,Indonesia,Rupiah
The Big Flame,romance,4/13/2011,Astrix Malimoe,Norrie Shale,5.7,73,Hindi,Greece,Euro
The Cheat,action,4/23/2009,Marketa Halsted,Dene Flello,9.0,154,Oriya,Haiti,Gourde
Cheerleader Camp,drama,9/29/2001,Ramsay Pyson,Mikel Winslade,1.6,64,Dutch,Peru,Sol
Thief,romance,5/10/2008,Abby Johananov,Jorge Slemmonds,5.0,143,Tok Pisin,Brazil,Real
Hard Times,drama,1/24/2003,Garwin Norsworthy,Easter Ditts,1.2,100,Azeri,Angola,Kwanza
"Scenesters, The",action,6/14/2014,Stirling Gorton,Wiatt Harriott,9.0,169,Icelandic,China,Yuan Renminbi
Ain't in It for My Health: A Film About Levon Helm,action,3/1/2005,Cash Thornhill,Marnia Ferrolli,6.9,193,Swahili,Colombia,Peso
East Palace West Palace (Dong gong xi gong),thriller,4/7/2000,Morgun Etienne,Merridie Brazer,2.6,164,New Zealand Sign Language,Bosnia and Herzegovina,Marka
Lady in the Lake,action,1/27/2012,Alfonse Eskriet,Aron Ruppel,4.3,150,Dari,Philippines,Peso
Bounty Hunters (Bail Enforcers),romance,4/28/2007,Shelia Vaudre,Mikey Hearnaman,5.1,223,Azeri,Indonesia,Rupiah
What If ...,action,10/25/2000,Forest Brazier,Guntar Ciccoloi,2.3,69,Malay,Saudi Arabia,Rial
Girlfight,comedy,6/30/2020,Cordelia Beak,Tomas Bohin,8.2,113,Moldovan,Poland,Zloty
Dead Weekend,drama,5/2/2015,Gennifer Ashby,Shari Stubbins,3.5,101,Indonesian,Serbia,Dinar
Let Sleeping Corpses Lie (Non si deve profanare il sonno dei morti),romance,6/20/2017,Baily Pendleton,Sallee Valentin,4.2,206,English,Indonesia,Rupiah
"Illusion Travels by Streetcar (Ilusión viaja en tranvía, La)",action,5/14/2022,Daniella Dohmann,Miner Chantrell,1.4,115,Lao,Guam,Dollar
"Longest Yard, The",comedy,7/16/2001,Fraze Sheering,Melita Alyokhin,5.0,99,English,Mongolia,Tugrik
Delicatessen,drama,2/12/2012,Janet Mandre,Abbey McIlwreath,5.0,187,Tswana,Italy,Euro
Alien Cargo,thriller,5/7/2021,Anette Abbs,Athene Ambridge,1.8,235,Japanese,Thailand,Baht
Oliver Twist,thriller,10/2/2013,Devina Heynen,Briggs Posnette,1.8,73,Croatian,China,Yuan Renminbi
Epidemic,thriller,3/22/2001,Janna Eldon,Eba Dummett,1.4,62,Albanian,China,Yuan Renminbi
New Tale of Zatoichi (Shin Zatôichi monogatari) (Zatôichi 3),drama,6/22/2012,Laird Millins,Denney Brace,1.8,116,Malayalam,China,Yuan Renminbi
"Twelve Chairs, The",action,7/15/2004,Aubree Fulks,Violette Corben,1.8,120,Irish Gaelic,Indonesia,Rupiah
Undisputed III: Redemption,romance,1/26/2002,Theda Aukland,Silva Slack,9.8,67,Tajik,Greece,Euro
"Trumpet of the Swan, The",thriller,12/17/2010,Haskel Szymanski,Rog Lawn,8.1,99,Hiri Motu,Vietnam,Dong
My Sister Eileen,romance,6/11/2013,Mirabel Lehrmann,Wyatt Haggata,8.3,116,Filipino,France,Euro
Beauty #2,romance,6/2/2015,Vanya Chrystie,Bridgette Gedney,6.5,75,Malagasy,Portugal,Euro
P2,thriller,8/20/2021,Danice Pearmine,Feodor McAndrew,3.9,173,Malay,Japan,Yen
Jack the Giant Killer,action,10/8/2019,Dana Yearne,Cori Andriuzzi,2.0,209,Telugu,France,Euro
"Black Sleep, The",action,11/4/2009,Skipp Aburrow,Jordan Axel,6.6,202,Aymara,China,Yuan Renminbi
Huhwihaji Anha (No Regret),comedy,2/21/2006,Kale Beau,Paolina Ulyatt,8.1,240,Japanese,China,Yuan Renminbi
"Corrina, Corrina",thriller,5/20/2021,Murvyn Boakes,Travis Wallice,9.5,61,Marathi,Thailand,Baht
Foreign Student,action,1/17/2017,Cissy Downs,Roderick Emlyn,5.0,83,Fijian,Tajikistan,Somoni
"People, Places, Things",thriller,1/22/2016,Westbrook Ruspine,Nelson Smythe,8.3,239,Afrikaans,Iraq,Dinar
Traitor,romance,6/30/2017,Jae Wards,Carmencita Majury,3.2,224,Japanese,Portugal,Euro
Yolki 2,romance,3/22/2012,Valencia Frissell,Clair Bonifant,2.6,138,Persian,Thailand,Baht
"Necessary War, The",comedy,3/26/2014,Christen Smedmore,Leann McAlpin,8.9,79,Croatian,Philippines,Peso
Moonwalker,action,12/2/2000,Danette Penkman,Bev Duce,2.4,160,Lao,Brazil,Real
This is Our Time,drama,12/1/2009,Consalve Muldowney,Clemmy Dawidsohn,2.0,217,French,China,Yuan Renminbi
Men of Respect,action,2/4/2001,Ashlan Broady,Morganica Behrens,3.7,146,Ndebele,Philippines,Peso
"Hit, The",thriller,4/12/2000,Tim Caldera,Errol Micheau,4.0,201,Thai,Bolivia,Boliviano
"Ladykillers, The",thriller,10/10/2009,Petronella Cartwight,Hendrika Bosch,1.4,165,Māori,France,Euro
"Bikini Carwash Company, The",action,11/4/2007,Loise Longmaid,Jeniece Maddigan,9.1,74,Montenegrin,Guyana,Dollar
"Reuben, Reuben",comedy,5/21/2010,Josee Paskell,Leontine Bummfrey,4.7,154,Tamil,Portugal,Euro
Carnosaur,comedy,8/17/2011,Arman Treanor,Denis Shippam,1.0,171,Belarusian,Russia,Ruble
You Again,drama,10/23/2011,Duncan MacPhee,Georgianna Sammars,4.5,166,Haitian Creole,Indonesia,Rupiah
Vital Signs,action,6/28/2011,Karoly Lembcke,Florry Robus,5.9,117,Kyrgyz,Thailand,Baht
"Fifth Commandment, The",action,3/1/2014,Corabella Gorvette,Brandie Alphonso,3.5,158,Mongolian,Philippines,Peso
Fetishes,romance,7/16/2011,Dorey Lambeth,Roselia Yeatman,9.8,200,Oriya,China,Yuan Renminbi
In Search of the Castaways,drama,12/6/2017,Randal Yendall,Annabal Campana,6.8,132,Italian,Venezuela,Bolivar
"Silent World, The (Le monde du silence)",comedy,4/19/2022,Orelie Rein,Inga Schulken,1.6,87,Armenian,Sweden,Krona
Jerusalema (Gangster's Paradise: Jerusalema),action,3/12/2003,Bel Dene,Farra Kesper,2.8,215,French,Indonesia,Rupiah
"Day I Became a Woman, The (Roozi khe zan shodam)",drama,7/2/2010,Reuven McCarlie,Pennie Spellworth,3.8,127,Portuguese,China,Yuan Renminbi
"Friends of Eddie Coyle, The",drama,8/18/2004,Tome Gercken,Juditha Albrecht,4.5,139,Romanian,South Korea,Won
Footloose,action,12/17/2018,Galvin Polle,Malcolm Rekes,9.7,94,Aymara,China,Yuan Renminbi
Amandla! A Revolution in Four Part Harmony,thriller,5/17/2001,Garvey Vela,Shelby Jewers,8.6,195,Kazakh,Indonesia,Rupiah
David and Bathsheba,comedy,7/24/2000,Dalli Muttitt,Thomasin O'Farris,6.9,109,Punjabi,South Africa,Rand
Bill Burr: Why Do I Do This?,drama,4/20/2013,Cassey Defraine,Francis Nyssen,5.2,60,Swahili,China,Yuan Renminbi
"Hard Man, The",drama,10/1/2001,Clea Forrest,Delcina Limmer,6.2,197,Japanese,China,Yuan Renminbi
Dangerous Game,thriller,4/7/2015,Bertina Sparks,Ingeberg Dofty,1.6,152,Indonesian,Argentina,Peso
Hitman Hart: Wrestling with Shadows,action,7/20/2002,Iona Fomichkin,Vin Hugnot,4.5,189,Moldovan,China,Yuan Renminbi
"Initiation, The",thriller,9/29/2006,Bearnard Tribbeck,Emera Biset,5.5,234,English,Russia,Ruble
Harvest (Stadt Land Fluss),romance,12/7/2004,Skyler Lindwall,Corabel Lembrick,6.4,175,Swedish,Kyrgyzstan,Som
Carnage,action,8/28/2017,Eldredge Tebbutt,Hilliary Lamborn,1.5,100,Gujarati,China,Yuan Renminbi
Incantato (Il cuore altrove),romance,7/2/2018,Mannie Clemitt,Theo Dallas,7.9,218,Swedish,Sweden,Krona
Hum Tum,comedy,5/24/2014,Caprice Jocic,Zita Perell,2.9,129,Somali,China,Yuan Renminbi
"Crucified Lovers, The (Chikamatsu monogatari)",romance,1/15/2003,Claudian Eighteen,Sergent Farryn,3.2,218,Zulu,Croatia,Kuna
All These Women (För att inte tala om alla dessa kvinnor),action,12/31/2010,Carver Shilito,Roscoe Conwell,8.4,96,Arabic,South Africa,Rand
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu),action,8/7/2013,Sammie Dupree,Ebba Thoumasson,5.3,182,Macedonian,Tajikistan,Somoni
Desperado,drama,8/15/2006,Jori Brogini,Dorice Sexti,4.5,185,German,Brazil,Real
22 Bullets (L'immortel),drama,7/21/2014,Marcellina Calderwood,Fredrick Minette,1.5,65,Zulu,Russia,Ruble
Tower Heist,drama,2/25/2014,Tori Prue,Idaline Petrol,8.1,100,Czech,Belarus,Ruble
Peaceful Warrior,action,6/4/2009,Fionnula Lies,Vanessa Arbor,2.2,235,Gagauz,Japan,Yen
My Name Is Nobody (Il Mio nome è Nessuno),thriller,2/1/2001,Lulu Moreno,Lana Upfold,1.7,223,Dhivehi,Latvia,Euro
Battlestar Galactica: The Plan,comedy,11/22/2006,Daron Bass,Virginie Fedorski,7.3,162,Gagauz,China,Yuan Renminbi
"Corrina, Corrina",thriller,7/17/2010,Marcille Frazer,Aguistin Snedden,8.4,89,Papiamento,Indonesia,Rupiah
Hamlet,drama,11/3/2009,Erin Leversuch,Jeralee Guido,9.4,220,Gujarati,Russia,Ruble
Accepted,romance,3/15/2018,Victoir Beavon,Lyman Bullin,9.5,134,Japanese,Brazil,Real
"Art of the Steal, The",comedy,9/4/2015,Rozella Espinay,Inness Louch,2.7,198,Punjabi,Ukraine,Hryvnia
First Family,comedy,2/25/2009,Kaspar Roke,Mina Cockson,2.3,158,New Zealand Sign Language,Colombia,Peso
"Jericho Mile, The",comedy,7/31/2014,Karalee Kamenar,Rosita Fones,9.9,220,Aymara,Indonesia,Rupiah
Venice/Venice,romance,6/10/2011,Darcey McAlarney,Guilbert Seabridge,8.5,111,French,Indonesia,Rupiah
"Muppet Family Christmas, A",comedy,8/30/2013,Fredra Swaysland,Valerye Haugeh,6.0,207,Dutch,Indonesia,Rupiah
MacArthur,action,1/22/2022,Cindee Testin,Ailyn Edelheit,8.3,185,Tsonga,China,Yuan Renminbi
"Boy Who Could Fly, The",thriller,3/25/2015,Sallyann Broadwell,Leeanne Slaney,5.4,202,Latvian,Poland,Zloty
Gretchen the Greenhorn,thriller,5/27/2015,Keefer Rispin,Gleda Roder,2.1,142,Filipino,Indonesia,Rupiah
My Brilliant Career,romance,9/1/2003,Odille Duddy,Jammie Glede,9.4,202,New Zealand Sign Language,China,Yuan Renminbi
Tis kakomoiras,drama,1/14/2002,Corella Gwin,Jan Gravatt,1.8,160,Korean,Philippines,Peso
"Violent City (Family, The) (Città violenta)",drama,5/14/2011,Prentiss Wyper,Edgard Bishell,9.2,82,Sotho,China,Yuan Renminbi
Craig Ferguson: I'm Here To Help,romance,4/24/2001,Gretna Beri,Weider Phythian,4.5,240,Persian,Russia,Ruble
"Haunted Palace, The",action,8/12/2017,Brennan Kendle,Delaney Skea,8.5,201,Quechua,Philippines,Peso
Failure to Launch,action,5/18/2017,Krissie Barmadier,Haily Chesser,6.7,208,Croatian,Honduras,Lempira
From the Sky Down,drama,5/24/2001,Frasco Braven,Lynna Ashtonhurst,9.0,81,Czech,Philippines,Peso
Picnic on the Grass (Le déjeuner sur l'herbe),drama,7/19/2015,Chick Robbie,Corbet Duckitt,5.1,212,Lithuanian,Eritrea,Nakfa
"Porn Theater (Chatte à deux têtes, La)",romance,6/4/2006,Freddie Edgett,Dorrie Rugiero,3.7,85,West Frisian,China,Yuan Renminbi
Dance of Outlaws (Häätanssi),action,12/18/2008,Gasper Sephton,Hunt Oddy,3.4,68,Maltese,Greece,Euro
Plastic,drama,4/3/2006,Kissiah Mattiacci,Hewe Roe,5.7,74,Icelandic,Sweden,Krona
Up in Smoke,thriller,9/26/2021,Dulce Orteu,Desiri Laroze,9.3,128,Northern Sotho,Philippines,Peso
In the City (En la ciudad),romance,1/1/2004,Carce Welchman,Byron Bleas,6.0,237,Malagasy,Portugal,Euro
Bjarnfreðarson,drama,8/20/2000,Vikky Wanklyn,Shane Crampsy,3.6,132,Portuguese,Portugal,Euro
Sinbad of the Seven Seas,thriller,4/30/2019,Clarine Rihosek,Kimberlee Benning,7.9,195,Croatian,Israel,Shekel
"Girlfriends, The (Le amiche)",drama,4/7/2018,Milicent O'Brollachain,Teodor Buye,8.8,112,Quechua,Greece,Euro
Rx,drama,12/28/2020,Oby Wonter,Micheline Epton,5.2,224,Bosnian,China,Yuan Renminbi
Colossal Youth (Juventude Em Marcha),romance,7/8/2002,Mikel Hindmoor,Dorey Juszczak,7.2,235,Burmese,Portugal,Euro
About Alex,thriller,9/14/2018,Caria Kehri,Jaye Flecknoe,5.7,76,Gagauz,Colombia,Peso
Young & Wild (Joven y alocada),thriller,10/20/2002,Shena Hellis,Adele Gair,3.1,192,Mongolian,France,Euro
Carefree,action,2/25/2003,Charil Brahmer,Manuel Cabrara,3.7,144,Catalan,Thailand,Baht
"Amish Murder, An",action,7/2/2013,Gray Pardon,Phylys Shawl,8.0,213,Icelandic,United Kingdom,Pound
So Close (Chik Yeung Tin Sai),action,10/31/2003,Etan Filipson,Sigismundo Arnault,6.3,232,New Zealand Sign Language,Colombia,Peso
Battlestar Galactica: Blood & Chrome,drama,6/22/2001,Adriena Kuhlmey,Gonzalo Sharkey,4.5,202,Kannada,Russia,Ruble
The Empty Hours,comedy,10/17/2021,Hedvig Caville,Bucky Diggens,4.1,78,Korean,Colombia,Peso
Joanna,thriller,12/23/2009,Granger Collingdon,Betta De Beneditti,7.6,115,Japanese,Netherlands,Euro
Transfer,thriller,9/27/2009,Tricia Santino,Isa Nott,2.9,145,Montenegrin,Philippines,Peso
Confessions from a Holiday Camp,romance,6/7/2001,Ronnie Ferreli,Kristen Kilmary,2.2,208,Khmer,Ireland,Euro
"Decline of Western Civilization, The",romance,9/2/2011,Orran Dowty,Merrel Aubert,4.2,200,Kyrgyz,Austria,Euro
"Five Obstructions, The (Fem benspænd, De)",drama,8/7/2011,Patric Bramall,Tilly Gress,6.6,114,West Frisian,Guatemala,Quetzal
Spring Fever,thriller,3/15/2011,Tymon Schankelborg,Barnard Corran,6.1,113,Belarusian,Papua New Guinea,Kina
Deadly Advice,thriller,9/18/2009,Robinetta O'Donnelly,Pandora Brombell,7.3,180,Bislama,China,Yuan Renminbi
Sea Wife,romance,9/14/2017,Don Iseton,Ruthie Garric,4.2,218,Malayalam,Indonesia,Rupiah
Giallo,romance,3/12/2014,Guy Ryburn,Merrick Klazenga,8.3,101,Luxembourgish,Germany,Euro
Private Benjamin,comedy,8/18/2013,Ernest Smorthwaite,Thebault Gibbie,2.3,209,Greek,Philippines,Peso
Jack and the Beanstalk,comedy,6/4/2012,Camila Laux,Berti Meneyer,2.0,214,Korean,South Africa,Rand
"Unfinished Life, An",comedy,1/22/2006,Arlie Huyhton,Francklin Edgell,7.2,226,Tamil,Palestinian Territory,Shekel
Bonfire of the Vanities,action,2/10/2015,Jacquelyn Nassi,Kylila Bythell,4.3,171,Tajik,Philippines,Peso
These Girls,thriller,1/19/2003,Tiffani Pregel,Wanda Reolfi,5.1,133,Malagasy,Guatemala,Quetzal
Dr. Otto and the Riddle of the Gloom Beam,action,4/26/2021,Garner Tivenan,Charyl Micah,7.7,91,Danish,Russia,Ruble
Breaking the Waves,thriller,12/8/2022,Raff McCaughran,Cally Salvador,8.3,76,Filipino,Egypt,Pound
"Foreigner, The",comedy,3/24/2014,Clarette Reignard,Flossy Becks,5.0,135,Oriya,Brazil,Real
Paris 36 (Faubourg 36),thriller,4/2/2012,Earlie McGiveen,Sherry Brunotti,1.3,236,Dhivehi,Argentina,Peso
Small Roads,thriller,12/10/2008,Alyson O'Curran,Bobina Abel,1.7,234,Lao,Portugal,Euro
Alligator Eyes,romance,5/22/2007,Wallis Perkins,Marcia Orvis,5.9,95,Swati,Brazil,Real
Bernie,comedy,9/14/2005,Levy Simone,Zorah Bastone,8.3,162,Gagauz,Mexico,Peso
Tender Is the Night,comedy,8/10/2020,Fremont McGhee,Geoffrey Janeczek,4.0,145,Dutch,Morocco,Dirham
Juwanna Mann,action,10/29/2008,Florri Mallison,Fara Challen,2.9,89,Moldovan,Indonesia,Rupiah
Point Break,thriller,6/16/2011,Agnella Sorensen,Olympie Windress,4.1,224,Tsonga,Chile,Peso
"Statement, The",romance,10/5/2002,Graham Cammack,Montague Mattiussi,5.9,151,Persian,Poland,Zloty
GoldenEye,romance,8/6/2011,Vassili Rolfo,Anson Cruise,6.5,207,Latvian,Serbia,Dinar
Page Eight,romance,7/6/2009,Konstantin Mumby,Merv Pavett,2.7,132,Dari,Indonesia,Rupiah
Victor Sjöström: Ett porträtt,romance,4/15/2012,Cacilia Wigg,Ange Ailsbury,2.1,130,Māori,Ukraine,Hryvnia
"Man Who Laughs, The",drama,4/29/2017,Tomi Burgan,Edlin Seage,5.7,169,Fijian,Russia,Ruble
Foxes,action,12/24/2005,Fey Bradbrook,Stephenie Fredson,5.7,232,Quechua,Zimbabwe,Dollar
"X-Files: I Want to Believe, The",romance,11/23/2000,Roslyn Stillman,Prentiss Costley,2.8,228,Sotho,Haiti,Gourde
"Faculty, The",thriller,9/3/2008,Frazer Byne,Viviyan Chattell,7.2,146,Northern Sotho,Poland,Zloty
Why Stop Now,drama,11/6/2021,Sapphira Edmans,Dulciana Gillitt,5.8,214,Ndebele,Indonesia,Rupiah
Bambi 2,drama,4/15/2002,Lloyd Davidge,Barbara-anne O'Connell,7.1,201,Macedonian,Guatemala,Quetzal
"Moth Diaries, The",action,10/16/2007,Corabella Petasch,Karol Fairy,6.3,68,Hindi,China,Yuan Renminbi
Ticking Clock,thriller,11/21/2001,Elfrieda Gristock,Dareen Sterzaker,8.7,139,Afrikaans,Philippines,Peso
The Studio Murder Mystery,comedy,6/19/2000,Britt Higgen,Pauline Carnegy,1.8,160,Lao,South Africa,Rand
"Back-up Plan, The",drama,12/5/2000,Laetitia Cady,Willem McCullock,5.3,94,Nepali,Indonesia,Rupiah
Simon Killer ,comedy,3/2/2018,Esther Duley,Farrand Kelinge,7.1,194,Dzongkha,Indonesia,Rupiah
Fugitives (Fugitivas),action,12/30/2000,Feodora Depper,Charisse Baldocci,5.0,186,Guaraní,Luxembourg,Euro
Eight Below,romance,1/10/2015,Bibbie Burrells,Farlie LaBastida,4.1,148,Gujarati,China,Yuan Renminbi
Scenes from a Mall,thriller,2/21/2008,Roseline Oxenham,Netti Coxwell,2.1,195,Belarusian,Japan,Yen
Good Luck Chuck,action,2/28/2001,Kristine Yegorshin,Nicolas Coltart,2.7,155,Swedish,Palestinian Territory,Shekel
Different from the Others (Anders als die Andern),comedy,10/21/2022,Arley Martynka,Anabel Revitt,1.9,203,Assamese,Russia,Ruble
Cousins,comedy,2/1/2017,Ines Hollebon,Esma Seakings,2.9,192,Pashto,Russia,Ruble
Scary Movie,thriller,3/9/2002,Osborne Bounde,Hayes Le Barr,2.4,137,Oriya,China,Yuan Renminbi
Stag Night,comedy,12/10/2006,Travers Wheowall,Margette Stranger,2.1,61,Gagauz,China,Yuan Renminbi
If These Walls Could Talk,action,10/30/2002,Brenden Bradfield,Livy Spier,3.4,154,Moldovan,China,Yuan Renminbi
Seitsemän veljestä,romance,1/12/2000,Rhoda Squibbs,Holly Sawter,4.8,136,Dari,France,Euro
Bloodsucking Freaks,comedy,10/23/2006,Franzen Mucklo,Danna Brittain,7.1,117,Tamil,China,Yuan Renminbi
Tell Them Who You Are,comedy,6/14/2020,Todd Vaughn,Albert Harlick,7.0,85,Somali,Indonesia,Rupiah
Quod erat demonstrandum,romance,2/26/2010,Isabella Beardow,Salem Bomfield,4.7,89,Maltese,Indonesia,Rupiah
"Shiro Amakusa, the Christian Rebel (Amakusa Shiro tokisada)",thriller,12/12/2008,Tad Sherwin,Dag Margerison,3.8,99,West Frisian,Indonesia,Rupiah
The Seven-Ups,romance,11/6/2001,Juline Haburne,Lloyd Boutcher,8.2,86,Hindi,Russia,Ruble
Transylmania,action,2/20/2016,Timmy Tippett,Kelbee Dunnion,4.2,182,Swati,Nigeria,Naira
Alila,action,7/11/2005,Shermie Hurle,Valene Todari,6.0,201,Haitian Creole,Indonesia,Rupiah
Transformers: Age of Extinction,thriller,6/16/2017,Juanita Simonian,Vicky Franzman,2.0,208,Hindi,Cambodia,Riels
Hangman's House,romance,4/8/2017,Adaline Dutnall,Julieta McArd,6.8,168,Belarusian,Russia,Ruble
Rebirth,thriller,6/4/2013,Vikki Roffey,Vivian Stocking,9.2,209,Northern Sotho,Pakistan,Rupee
Broadcast News,comedy,4/16/2019,Tabbatha Leverich,Gwendolin Fairbard,7.2,101,Dari,Thailand,Baht
The Missouri Breaks,drama,3/23/2000,Bessie Flanne,Aguistin Atwell,4.2,198,Persian,Russia,Ruble
On the Riviera,thriller,9/16/2005,Millie Smiz,Tera Fardo,6.5,237,Italian,Greenland,Krone
Santa with Muscles,drama,4/17/2016,Franzen Arkil,Lonny Lonie,4.1,148,English,Armenia,Dram
"Buddy Holly Story, The",drama,10/13/2019,Shirley Sudlow,Donovan See,6.0,115,Hindi,Mexico,Peso
Shutter,romance,8/4/2018,Madelene Alejandro,Olwen Terrans,4.7,85,Kyrgyz,China,Yuan Renminbi
"Brothers, The",drama,1/17/2015,Thedrick Costa,Max Kersey,1.1,97,Tsonga,Malaysia,Ringgit
Snake Eyes,thriller,6/29/2013,Kelli Geertz,Toby Bakewell,7.7,126,Māori,Serbia,Dinar
Barnyard: The Original Party Animals,drama,5/14/2020,Aluino Ruppele,Mommy Clendinning,1.0,90,English,China,Yuan Renminbi
Woman of Antwerp,romance,12/21/2012,Mareah Sibray,Damara Burgoin,3.3,196,Czech,Germany,Euro
Grease 2,drama,3/21/2011,Heda Uff,Wilmette Stebbings,2.8,151,Malagasy,Greece,Euro
Immortal Beloved,action,1/1/2017,Orelle Heigl,Diane-marie Margetts,4.0,105,Indonesian,Philippines,Peso
"Girl Cut in Two, The (Fille coupée en deux, La)",action,7/8/2013,Marcy Bockh,Heath Hazell,7.3,206,Danish,Peru,Sol
World Traveler,action,12/9/2003,Jany Yurmanovev,Valle Barok,8.9,178,Moldovan,Morocco,Dirham
Flushed Away,thriller,2/7/2011,Jaquelyn Vlasenkov,Gerianne Manger,8.1,133,Spanish,Iraq,Dinar
Arsenic and Old Lace,comedy,8/24/2021,Angie Snoddin,Fedora Ammer,5.4,108,Icelandic,Greece,Euro
Love Torn in Dream (Combat d'amour en songe),romance,12/21/2019,Jarrett Bestwick,Suellen Faulkes,3.2,105,Haitian Creole,United States,Dollar
Season of the Witch,thriller,10/16/2018,Cathryn Craigg,Keary Van Leeuwen,8.9,97,Romanian,Myanmar,Kyat
"Campaign, The",drama,3/19/2017,Margarita Gross,Phillie Leindecker,2.5,180,Guaraní,Poland,Zloty
Who's Your Daddy?,drama,12/5/2013,Geri Mc Ilory,Quentin Ferrettino,6.7,91,Pashto,Haiti,Gourde
Illustrious Corpses (Cadaveri eccellenti),romance,6/22/2021,Erin Jozsef,Jorge Fradson,7.9,238,Dhivehi,Brazil,Real
